"","notes._notes","notes._index","notes._parent_index","notes._parent_table","notes.Data_type","notes._id"
"1",NA,1,1,"main","_notes",163622967
"2",NA,1,2,"main","_notes",189066260
"3",NA,1,3,"main","_notes",189469011
"4",NA,1,4,"main","_notes",189528021
"5",NA,1,5,"main","_notes",189528140
"6",NA,1,6,"main","_notes",189528190
"7",NA,1,7,"main","_notes",189528232
"8",NA,1,8,"main","_notes",189529455
"9",NA,1,9,"main","_notes",189530391
"10",NA,1,10,"main","_notes",189531213
"11",NA,1,11,"main","_notes",189532405
"12",NA,1,12,"main","_notes",189551226
"13",NA,1,13,"main","_notes",189563709
"14",NA,1,14,"main","_notes",189663249
"15",NA,1,15,"main","_notes",189663315
"16",NA,1,16,"main","_notes",189663334
"17",NA,1,17,"main","_notes",189663359
"18",NA,1,18,"main","_notes",189663391
"19",NA,1,19,"main","_notes",189725199
"20",NA,1,20,"main","_notes",190955924
"21",NA,1,21,"main","_notes",190955945
"22",NA,1,22,"main","_notes",190955967
"23",NA,1,23,"main","_notes",190955982
"24",NA,1,24,"main","_notes",190956010
"25",NA,1,25,"main","_notes",190956049
"26",NA,1,26,"main","_notes",190956064
"27",NA,1,27,"main","_notes",190956088
"28",NA,1,28,"main","_notes",190956140
"29",NA,1,29,"main","_notes",190956170
"30",NA,1,30,"main","_notes",190956190
"31",NA,1,31,"main","_notes",190956218
"32",NA,1,32,"main","_notes",190956247
"33",NA,1,33,"main","_notes",190956306
"34",NA,1,34,"main","_notes",190956376
"35",NA,1,35,"main","_notes",190956404
"36",NA,1,36,"main","_notes",190956437
"37",NA,1,37,"main","_notes",190956468
"38",NA,1,38,"main","_notes",190956469
"39",NA,1,39,"main","_notes",190956488
"40",NA,1,40,"main","_notes",206438443
"41",NA,1,41,"main","_notes",206440717
"42",NA,1,42,"main","_notes",209222202
"43",NA,1,43,"main","_notes",209227370
"44",NA,1,44,"main","_notes",209230939
"45",NA,1,45,"main","_notes",221701339
"46",NA,1,46,"main","_notes",221702505
"47",NA,1,47,"main","_notes",221706815
"48",NA,1,48,"main","_notes",221722552
"49",NA,1,49,"main","_notes",221732781
"50",NA,1,50,"main","_notes",223397416
"51",NA,1,51,"main","_notes",224763824
"52",NA,1,52,"main","_notes",225333314
"53",NA,1,53,"main","_notes",225333642
"54",NA,1,54,"main","_notes",225428768
"55",NA,1,55,"main","_notes",225494696
"56",NA,1,56,"main","_notes",225495251
